Spreadsheet tab,Spreadsheet tab description,Element or value display name,Description,Data type,Unit,Calculation,Format,Low Value,High Value,Acceptable values,Required,Accepts null value
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Total Pest Amount kg/ha,Amount of all active ingredients applied,NUMERIC,NA,kg/ha,NA,0,NA,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Active Ingredient Type,"The active ingredient (or additive, surfactant, foam reducer, oil, etc.) used ",CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Pest Target,Target species for this application,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Pest Placement,Pesticide placement method,CHARACTER,NA,NA,NA,NA,NA,Air Blast Sprayer | Airplane | Chemigation | Hand Broadcast | Seed Treated | Tractor mounted spray boom | Under soil with planter,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Irrigation Amount cm,Irrigation amount,NUMERIC,cm,NA,NA,0,10,NA,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Irrigation Type,Irrigation type used,CHARACTER,NA,NA,NA,NA,NA,Center Pivot | Drip | Flood | Furrow/Ditch | Lateral Move Sprinkler | Linear Move Sprinkler | Rotation | Seepage | Side Roll | Solid Set Sprinklers | Supplemental | Surface | Traveling Gun | Wheel Line,N,Y
MgtAmendments,"Amendments added, fertilizer, pesticides, irrigation",Irrigation N mg/L,Irrigation Nitrogen content,NUMERIC,NA,mg/L,NA,0,1000,NA,N,Y
MgtPlanting,How the site was planted,Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtPlanting,How the site was planted,Date,Date the planting event occurred,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
MgtPlanting,How the site was planted,Treatment ID,Treatment identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtPlanting,How the site was planted,Crop,Crop,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtPlanting,How the site was planted,Cultivar,Name of the crop variety,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtPlanting,How the site was planted,Planting Rate #seeds/ha,Number of seeds/seedlings planted,INTEGER,NA,seeds/ha,NA,0,150000,NA,N,Y
MgtPlanting,How the site was planted,Planting Density kg/ha,Planting density,NUMERIC,NA,kg/ha,NA,0,150000,NA,N,Y
MgtPlanting,How the site was planted,Planting Method,Planting method used,CHARACTER,NA,NA,NA,NA,NA,Broadcast | Disk | Drill | Row | Twin Row,N,Y
MgtPlanting,How the site was planted,Planting Depth cm,Depth at which the seeds/seedlings were planted,NUMERIC,cm,NA,NA,0,50,NA,N,Y
MgtPlanting,How the site was planted,Row Width cm,Average width of the row planted,NUMERIC,cm,NA,NA,0,100,NA,N,Y
MgtTillage,How the site was tilled,Exp Unit ID,Unique experimental identifier,CHARACTER,NA,NA,NA,NA,NA,NA,N,Y
MgtTillage,How the site was tilled,Date,Date the tillage operation occurred,DATE,NA,NA,mm/dd/yyyy,1/1/1900,now,NA,N,Y
